Bowl,Team,Points,ESPN Game ID,ESPN Team Name,isFinal,ESPN Team ID,State,date,LoserPoints,Margin
Myrtle Beach Bowl,Georgia Southern,21,401551733,Georgia Southern Eagles,True,290,post,2023-12-16T16:00Z,21,-1
Myrtle Beach Bowl,Ohio (Favorite),41,401551733,Ohio Bobcats,True,195,post,2023-12-16T16:00Z,21,20
Cricket Celebration Bowl,Florida A&M (Favorite),30,401551470,Florida A&M Rattlers,True,50,post,2023-12-16T17:00Z,26,4
Cricket Celebration Bowl,Howard,26,401551470,Howard Bison,True,47,post,2023-12-16T17:00Z,26,-1
RL Carriers New Orleans Bowl,Jacksonville State (Favorite),34,401551751,Jacksonville State Gamecocks,True,55,post,2023-12-16T19:15Z,31,3
RL Carriers New Orleans Bowl,Louisiana,31,401551751,Louisiana Ragin' Cajuns,True,309,post,2023-12-16T19:15Z,31,-1
Avocados From Mexico Cure Bowl,Appalachian State (Favorite),13,401551731,Appalachian State Mountaineers,True,2026,post,2023-12-16T20:30Z,9,4
Avocados From Mexico Cure Bowl,Miami (OH),9,401551731,Miami (OH) RedHawks,True,193,post,2023-12-16T20:30Z,9,-1
Isleta New Mexico Bowl,Fresno State,37,401551732,Fresno State Bulldogs,True,278,post,2023-12-16T22:45Z,10,27
Isleta New Mexico Bowl,New Mexico State (Favorite),10,401551732,New Mexico State Aggies,True,166,post,2023-12-16T22:45Z,10,-1
LA Bowl,UCLA (Favorite),35,401551752,UCLA Bruins,True,26,post,2023-12-17T00:30Z,22,13
LA Bowl,Boise State,22,401551752,Boise State Broncos,True,68,post,2023-12-17T00:30Z,22,-1
Radiance Technologies Independence Bowl,California,14,401551753,California Golden Bears,True,25,post,2023-12-17T02:15Z,14,-1
Radiance Technologies Independence Bowl,Texas Tech (Favorite),34,401551753,Texas Tech Red Raiders,True,2641,post,2023-12-17T02:15Z,14,20
Famous Toastery Bowl,Old Dominion,35,401551469,Old Dominion Monarchs,True,295,post,2023-12-18T19:30Z,35,-1
Famous Toastery Bowl,Western Kentucky (Favorite),38,401551469,Western Kentucky Hilltoppers,True,98,post,2023-12-18T19:30Z,35,3
Scooters Coffee Frisco Bowl,Marshall,17,401551735,Marshall Thundering Herd,True,276,post,2023-12-20T02:00Z,17,-1
Scooters Coffee Frisco Bowl,UTSA (Favorite),35,401551735,UTSA Roadrunners,True,2636,post,2023-12-20T02:00Z,17,18
RoofClaimcom Boca Raton Bowl,South Florida,45,401551737,South Florida Bulls,True,58,post,2023-12-22T01:00Z,0,45
RoofClaimcom Boca Raton Bowl,Syracuse (Favorite),0,401551737,Syracuse Orange,True,183,post,2023-12-22T01:00Z,0,-1
Union Home Mortgage Gasparilla Bowl,UCF (Favorite),17,401551754,UCF Knights,True,2116,post,2023-12-22T23:30Z,17,-1
Union Home Mortgage Gasparilla Bowl,Georgia Tech,30,401551754,Georgia Tech Yellow Jackets,True,59,post,2023-12-22T23:30Z,17,13
Camellia Bowl,Arkansas State (Favorite),19,401551741,Arkansas State Red Wolves,True,2032,post,2023-12-23T17:00Z,19,-1
Camellia Bowl,Northern Illinois,21,401551741,Northern Illinois Huskies,True,2459,post,2023-12-23T17:00Z,19,2
Birmingham Bowl,Duke,17,401551739,Duke Blue Devils,True,150,post,2023-12-23T17:00Z,10,7
Birmingham Bowl,Troy (Favorite),10,401551739,Troy Trojans,True,2653,post,2023-12-23T17:00Z,10,-1
Lockheed Martin Armed Forces Bowl,Air Force,31,401551742,Air Force Falcons,True,2005,post,2023-12-23T20:30Z,21,10
Lockheed Martin Armed Forces Bowl,James Madison (Favorite),21,401551742,James Madison Dukes,True,256,post,2023-12-23T20:30Z,21,-1
Famous Idaho Potato Bowl,Georgia State (Favorite),45,401551743,Georgia State Panthers,True,2247,post,2023-12-23T20:30Z,22,23
Famous Idaho Potato Bowl,Utah State,22,401551743,Utah State Aggies,True,328,post,2023-12-23T20:30Z,22,-1
68 Ventures Bowl,South Alabama (Favorite),59,401551755,South Alabama Jaguars,True,6,post,2023-12-24T00:00Z,10,49
68 Ventures Bowl,Eastern Michigan,10,401551755,Eastern Michigan Eagles,True,2199,post,2023-12-24T00:00Z,10,-1
SRS Distribution Las Vegas Bowl,Northwestern,14,401551744,Northwestern Wildcats,True,77,post,2023-12-24T00:30Z,7,7
SRS Distribution Las Vegas Bowl,Utah (Favorite),7,401551744,Utah Utes,True,254,post,2023-12-24T00:30Z,7,-1
EasyPost Hawaii Bowl,Coastal Carolina,24,401551746,Coastal Carolina Chanticleers,True,324,post,2023-12-24T03:30Z,14,10
EasyPost Hawaii Bowl,San Jose State (Favorite),14,401551746,San José State Spartans,True,23,post,2023-12-24T03:30Z,14,-1
Quick Lane Bowl,Bowling Green,24,401551756,Bowling Green Falcons,True,189,post,2023-12-26T19:00Z,24,-1
Quick Lane Bowl,Minnesota (Favorite),30,401551756,Minnesota Golden Gophers,True,135,post,2023-12-26T19:00Z,24,6
SERVPRO First Responder Bowl,Rice,21,401551748,Rice Owls,True,242,post,2023-12-26T22:30Z,21,-1
SERVPRO First Responder Bowl,Texas State (Favorite),45,401551748,Texas State Bobcats,True,326,post,2023-12-26T22:30Z,21,24
Guaranteed Rate Bowl,Kansas (Favorite),28,401551757,Kansas Jayhawks,False,2305,in,2023-12-27T02:00Z,7,21
Guaranteed Rate Bowl,UNLV,7,401551757,UNLV Rebels,False,2439,in,2023-12-27T02:00Z,7,-1
