Bowl,Team,Points,ESPN Game ID,ESPN Team Name,isFinal,ESPN Team ID,State,date
Lockheed Martin Armed Forces Bowl,Air Force,0,401551742,Air Force Falcons,False,2005,pre,2023-12-23T20:30Z
CFP Semifinal at the Rose Bowl Game,Alabama,0,401551786,Alabama Crimson Tide,False,333,pre,2024-01-01T22:00Z
Avocados From Mexico Cure Bowl,Appalachian State (Favorite),0,401551731,Appalachian State Mountaineers,False,2026,post,2023-12-16T20:30Z
Valero Alamo Bowl,Arizona (Favorite),0,401551765,Arizona Wildcats,False,12,pre,2023-12-29T02:15Z
Camellia Bowl,Arkansas State (Favorite),0,401551741,Arkansas State Red Wolves,False,2032,pre,2023-12-23T17:00Z
TransPerfect Music City Bowl,Auburn (Favorite),0,401551770,Auburn Tigers,False,2,pre,2023-12-30T19:00Z
LA Bowl,Boise State,0,401551752,Boise State Broncos,False,68,post,2023-12-17T00:30Z
Wasabi Fenway Bowl,Boston College,0,401551750,Boston College Eagles,False,103,pre,2023-12-28T16:00Z
Quick Lane Bowl,Bowling Green,0,401551756,Bowling Green Falcons,False,189,pre,2023-12-26T19:00Z
Radiance Technologies Independence Bowl,California,0,401551753,California Golden Bears,False,25,post,2023-12-17T02:15Z
TaxSlayer Gator Bowl,Clemson (Favorite),0,401551766,Clemson Tigers,False,228,pre,2023-12-29T17:00Z
EasyPost Hawaii Bowl,Coastal Carolina,0,401551746,Coastal Carolina Chanticleers,False,324,pre,2023-12-24T03:30Z
Birmingham Bowl,Duke,0,401551739,Duke Blue Devils,False,150,pre,2023-12-23T17:00Z
68 Ventures Bowl,Eastern Michigan,0,401551755,Eastern Michigan Eagles,False,2199,pre,2023-12-24T00:00Z
Cricket Celebration Bowl,Florida A&M (Favorite),0,401551470,Florida A&M Rattlers,False,50,post,2023-12-16T17:00Z
Capital One Orange Bowl,Florida State,0,401551773,Florida State Seminoles,False,52,pre,2023-12-30T21:00Z
Isleta New Mexico Bowl,Fresno State,0,401551732,Fresno State Bulldogs,False,278,post,2023-12-16T22:45Z
Capital One Orange Bowl,Georgia (Favorite),0,401551773,Georgia Bulldogs,False,61,pre,2023-12-30T21:00Z
